ANBIMA - Associação Brasileira das Entidades dos Mercados Financeiro e de Capitais

Titulo@Data Referencia@Codigo SELIC@Data Base/Emissao@Data Vencimento@Tx. Compra@Tx. Venda@Tx. Indicativas@PU@Desvio padrao@Interv. Ind. Inf. (D0)@Interv. Ind. Sup. (D0)@Interv. Ind. Inf. (D+1)@Interv. Ind. Sup. (D+1)@Criterio
LTN@20240701@100000@20220708@20241001@10,457@10,407@10,4318@974,346516@0,00561197657158@10,3008@10,5376@10,3459@10,5055@Calculado
LTN@20240701@100000@20180201@20250101@10,7487@10,6968@10,7167@949,220451@0,01286239388528@10,3943@10,7724@10,4987@10,7664@Calculado
LTN@20240701@100000@20230106@20250401@11,1047@11,0733@11,0812@923,822349@0,01125539086483@10,6672@11,2095@10,8401@11,2043@Calculado
LTN@20240701@100000@20220107@20250701@11,3353@11,314@11,3229@898,670214@0,00461276202725@10,8738@11,4953@11,0594@11,4912@Calculado
LTN@20240701@100000@20230707@20251001@11,623@11,607@11,6158@870,891655@0,00406939798865@11,1326@11,8196@11,3526@11,8163@Calculado
LTN@20240701@100000@20200203@20260101@11,7694@11,7543@11,7602@845,26794@0,00182053240015@11,2401@11,9549@11,4541@11,9519@Calculado
LTN@20240701@100000@20240105@20260401@11,9155@11,9@11,9077@820,920618@0,00072899146771@11,392@12,1275@11,6015@12,1251@Calculado
LTN@20240701@100000@20230106@20260701@12,0067@11,9912@11,9965@797,60222@0,00015075563008@11,5127@12,2356@11,6938@12,2337@Calculado
LTN@20240701@100000@20230707@20270701@12,2393@12,2213@12,2292@708,400561@0,00286073828233@11,7869@12,5001@11,9061@12,4993@Calculado
LTN@20240701@100000@20240105@20280101@12,3411@12,3281@12,335@665,882563@0@11,9135@12,6215@12,0149@12,6211@Calculado
LTN@20240701@100000@20240105@20300101@12,5713@12,556@12,5628@523,551853@0,00165510696633@12,1987@12,8463@12,2468@12,8463@Calculado
NTN-C@20240701@770100@20000701@20310101@6,3443@6,0624@6,2229@8006,820722@0,09378216439686@5,7602@6,3497@5,787@6,5091@Calculado
LFT@20240701@210100@20000701@20240901@0,0088@0,0019@0,0054@15020,347224@0,00266131040843@-0,0223@0,0515@-0,0321@0,052@Calculado
LFT@20240701@210100@20000701@20250301@-0,0037@-0,0125@-0,0078@15021,278494@0,00037055052287@-0,0267@0,0156@-0,0357@0,0157@Calculado
LFT@20240701@210100@20000701@20250901@-0,0001@-0,0069@-0,0024@15020,918002@0,00259911140777@-0,0141@0,0162@-0,0212@0,0153@Calculado
LFT@20240701@210100@20000701@20260301@0,0221@0,0185@0,0202@15015,435521@0,00046638645992@0,0067@0,0385@-0,0008@0,0383@Calculado
LFT@20240701@210100@20000701@20260901@0,0331@0,0302@0,0316@15010,193367@0,00041052332455@0,0261@0,066@0,0255@0,0657@Calculado
LFT@20240701@210100@20000701@20270301@0,0792@0,077@0,0775@14989,675368@0,0004047633012@0,0621@0,0852@0,0628@0,0823@Calculado
LFT@20240701@210100@20000701@20270901@0,1174@0,1145@0,1162@14965,417264@0,00042874645188@0,0793@0,1212@0,0783@0,121@Calculado
LFT@20240701@210100@20000701@20280301@0,1278@0,1254@0,1263@14951,358079@0,00045608297491@0,1153@0,1316@0,1145@0,1314@Calculado
LFT@20240701@210100@20000701@20280901@0,1373@0,1346@0,136@14935,751782@0,00055583033382@0,1286@0,1573@0,1282@0,1564@Calculado
LFT@20240701@210100@20000701@20290301@0,1565@0,1539@0,1555@14912,620216@0,00073651621163@0,1484@0,1666@0,1479@0,1658@Calculado
LFT@20240701@210100@20000701@20290901@0,1642@0,161@0,1622@14895,617013@0,00053323374799@0,1548@0,1813@0,1543@0,1809@Calculado
LFT@20240701@210100@20000701@20300301@0,1758@0,1737@0,1747@14873,4768@0,00031664085333@0,1649@0,1832@0,1643@0,183@Calculado
LFT@20240701@210100@20000701@20300601@0,1814@0,1801@0,1805@14862,031181@0,00029154757759@0,1603@0,1904@0,1604@0,1899@Calculado
NTN-B@20240701@760199@20000715@20240815@7,882@7,8027@7,841@4379,86483@0,04535315965729@7,1711@9,2152@7,0049@9,2314@Calculado
NTN-B@20240701@760199@20000715@20250515@6,5015@6,4616@6,482@4312,330269@0,00367663148004@5,9977@6,7696@6,1377@6,772@Calculado
NTN-B@20240701@760199@20000715@20260815@6,7195@6,6842@6,7035@4333,253566@0,00487706000373@6,2934@6,8716@6,4566@6,8716@Calculado
NTN-B@20240701@760199@20000715@20270515@6,7318@6,6926@6,7104@4254,535567@0,00127763567968@6,3524@6,864@6,5151@6,8637@Calculado
NTN-B@20240701@760199@20000715@20280815@6,7226@6,6851@6,7052@4289,619683@0,00947294775242@6,3823@6,8686@6,5334@6,8686@Calculado
NTN-B@20240701@760199@20000715@20290515@6,6752@6,6296@6,6487@4223,743519@0,01300322227258@6,338@6,8048@6,4762@6,8049@Calculado
NTN-B@20240701@760199@20000715@20300815@6,613@6,5745@6,5925@4275,776796@0,00784936240149@6,2989@6,7365@6,4309@6,7367@Calculado
NTN-B@20240701@760199@20000715@20320815@6,652@6,6063@6,63@4235,352297@0@6,3712@6,7538@6,4748@6,7539@Calculado
NTN-B@20240701@760199@20000715@20330515@6,6363@6,5975@6,6167@4165,72111@0,0053678939725@6,3663@6,7363@6,465@6,7364@Calculado
NTN-B@20240701@760199@20000715@20350515@6,6165@6,5789@6,6@4146,778437@0@6,3645@6,7175@6,4534@6,7176@Calculado
NTN-B@20240701@760199@20000715@20400815@6,5282@6,4782@6,5032@4195,314472@0,00872414304846@6,3006@6,6199@6,3638@6,6199@Calculado
NTN-B@20240701@760199@20000715@20450515@6,5722@6,5378@6,5574@4080,180484@0,00380545290997@6,3593@6,6725@6,4195@6,6726@Calculado
NTN-B@20240701@760199@20000715@20500815@6,5707@6,5241@6,5458@4123,453472@0,01146643216785@6,3676@6,66@6,4087@6,66@Calculado
NTN-B@20240701@760199@20000715@20550515@6,5478@6,5014@6,5236@4056,017727@0,01154238565722@6,3419@6,6377@6,3874@6,6377@Calculado
NTN-B@20240701@760199@20000715@20600815@6,567@6,5168@6,5391@4097,318683@0,00910802222384@6,3655@6,6527@6,4029@6,6527@Calculado
NTN-F@20240701@950199@20140110@20250101@10,7909@10,7436@10,7709@995,30142@0,01432652026837@10,4539@10,8261@10,5525@10,8202@Calculado
NTN-F@20240701@950199@20160115@20270101@12,0857@12,063@12,0754@958,284225@0,00103774903999@11,6215@12,3145@11,7618@12,3132@Calculado
NTN-F@20240701@950199@20180105@20290101@12,3324@12,3037@12,3185@926,606633@0,01155979875949@11,9405@12,5934@12,0038@12,5932@Calculado
NTN-F@20240701@950199@20200110@20310101@12,4643@12,4512@12,4575@899,357893@0,00122064217115@12,1198@12,7317@12,153@12,7317@Calculado
NTN-F@20240701@950199@20220107@20330101@12,3975@12,3722@12,3841@883,863587@0,00242417696755@12,0618@12,666@12,0874@12,666@Calculado
NTN-F@20240701@950199@20240105@20350101@12,3056@12,2927@12,2983@874,375374@0,00147334708402@11,9949@12,5861@11,9973@12,5861@Calculado
